name,course_1,course_2,link_1,link_2
AltanReisoglu,Python,Cpp,localhost://0,localhost://0
pdichone,C++ For Programmers,Beginning C++ Programming - From Beginner to Beyond,https://www.udacity.com/course/c-for-programmers--ud210,https://www.udemy.com/course/beginning-c-plus-plus-programming/
pdichone,C++ For Programmers,Beginning C++ Programming - From Beginner to Beyond,https://www.udacity.com/course/c-for-programmers--ud210,https://www.udemy.com/course/beginning-c-plus-plus-programming/
pdichone,C++ For Programmers,Beginning C++ Programming - From Beginner to Beyond,https://www.udacity.com/course/c-for-programmers--ud210,https://www.udemy.com/course/beginning-c-plus-plus-programming/
pdichone,C++ For Programmers,Beginning C++ Programming - From Beginner to Beyond,https://www.udacity.com/course/c-for-programmers--ud210,https://www.udemy.com/course/beginning-c-plus-plus-programming/
pdichone,C++ For Programmers,Beginning C++ Programming - From Beginner to Beyond,https://www.udacity.com/course/c-for-programmers--ud210,https://www.udemy.com/course/beginning-c-plus-plus-programming/
pdichone,C++ For Programmers,Beginning C++ Programming - From Beginner to Beyond,https://www.udacity.com/course/c-for-programmers--ud210,https://www.udemy.com/course/beginning-c-plus-plus-programming/
AltanReisoglu,CS50's Introduction to Programming with Python,The Complete JavaScript Course,https://pll.harvard.edu/course/cs50s-introduction-programming-python,https://www.udemy.com/course/the-complete-javascript-course/
AltanReisoglu,CS50's Introduction to Programming with Python,The Complete JavaScript Course,https://pll.harvard.edu/course/cs50s-introduction-programming-python,https://www.udemy.com/course/the-complete-javascript-course/
AltanReisoglu,CS50's Introduction to Programming with Python,The Complete JavaScript Course,https://pll.harvard.edu/course/cs50s-introduction-programming-python,https://www.udemy.com/course/the-complete-javascript-course/
huggingface,CS50's Introduction to Programming with Python,Rust 1: Comprehensive Course (Codecademy),https://pll.harvard.edu/course/cs50s-introduction-programming-python,https://www.codecademy.com/search?query=Rust+course
